participants,qs_institution,is_research_institute
Baylor College of Medicine,,TRUE
Ceitec Masaryk University,Masaryk University,FALSE
Fraunhofer Inst Of Molecular,,TRUE
Inserm Transfert SA,,TRUE
Max Planck Society,,TRUE
Northeastern University,Northeastern University,FALSE
Oxford Univ Innovation Ltd,University of Oxford,FALSE
Oxford University,University of Oxford,FALSE
Rutgers State University,Rutgers University–New Brunswick,FALSE
The Univ Of Tours,,TRUE
Univ of Missouri Research,"University of Missouri, Columbia",FALSE
University College London,UCL,FALSE
University Hospital Erlangen,Friedrich-Alexander-Universität Erlangen-Nürnberg,FALSE
University Of Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn,FALSE
University of Adelaide,The University of Adelaide,FALSE
University of Bath,University of Bath,FALSE
University of Goettingen,University of Göttingen,FALSE
University of Manchester,The University of Manchester,FALSE
University of Montreal,McGill University,FALSE
University of Texas MD,University of Texas at Austin,FALSE
Washington Univ School of Med,Washington University in St. Louis,FALSE
